자치구,사업구분,사업장명,대표지번,진행단계,lat,lng
양천구,재건축,목원연립 주택재건축정비사업 조합,목동 803-2,이전고시,37.53608,126.87585
양천구,재건축,신월2구역 주택재건축정비사업 조합설립추진위원회,신월동 487-4,추진위원회승인,37.52782,126.83692
양천구,재건축,목제1주택재건축정비사업조합,목동 632-1,조합청산,37.53608,126.87585
송파구,재개발(주택정비형),마천3재정비촉진구역 주택재개발정비사업조합,마천동 283,조합설립인가,37.49803,127.15167
강남구,재건축,대치동구마을1지구재건축정비사업 조합,대치동 963,이전고시,37.49882,127.06566
강동구,재건축,길동진흥아파트 주택재건축정비사업 조합,길동 298-1,조합해산,37.5398309,127.1466106
양천구,재개발(주택정비형),신정1재정비촉진구역1지구 주택재개발정비사업 조합,신월동 551-10,준공인가,37.52782,126.83692
성동구,재개발(주택정비형),금호제20구역 주택재개발정비사업 조합,금호동4가 56-1,조합해산,37.54479,127.02339
용산구,재개발(주택정비형),효창제5구역 주택재개발정비사업조합,효창동 13-2,조합청산,37.54341,126.96037
서초구,재건축,방배신삼호아파트 재건축정비사업조합,방배동 725,조합설립인가,37.4798789,126.9939103
강남구,재건축,"역삼동(758,은하수,760) 주택재건축정비사업조합",역삼동 758,분양,37.49988,127.03856
성동구,재개발(도시정비형),장안평 중고차매매센터 도시정비형 재개발정비사업조합,용답동 234,조합설립인가,37.5613328,127.0580146
구로구,소규모재건축,미래빌라소규모재건축정비사업조합,오류동 68-21,조합설립인가,37.4910095,126.8377379
송파구,재건축,송파한양2차아파트 재건축정비사업 조합,송파동 151,조합설립인가,37.50479,127.11369
성북구,재개발(주택정비형),정릉제3구역주택재개발정비사업 조합설립추진위원회,정릉동 894,추진위원회승인,37.61654,126.99794
영등포구,재개발(주택정비형),신길8재정비촉진구역 주택재개발정비사업조합,신길동 3163,조합청산,37.5065214,126.9119108
동작구,재건축,사당3 주택재건축 정비사업조합,사당동 41-17,조합해산,37.4856963,126.9723525
서초구,재건축,서초무지개아파트 재건축정비사업 조합,서초동 1335,조합청산,37.48818,127.01751
용산구,재건축,한강삼익아파트 주택재건축정비사업 조합,이촌동 300-301,사업시행인가,37.52086,126.96612
동대문구,재개발(주택정비형),제기제4구역 주택재개발정비사업조합,제기동 288,철거,37.58465,127.03678
강동구,재건축,"길동신동아1,2차아파트 주택재건축정비사업조합",길동 160,준공인가,37.5398309,127.1466106
서대문구,재건축,홍제동 제1주택재건축정비사업 조합,홍제동 57-5,준공인가,37.5871,126.94676
용산구,재건축,산호아파트 주택재건축 정비사업조합,원효로4가 118-16,사업시행인가,37.53211,126.95127
강북구,재개발(주택정비형),미아제16구역 주택재개발사업 조합설립추진위원회,미아동 6,추진위원회승인,37.6189207,127.0216392
성북구,재개발(주택정비형),길음역세권재정비촉진구역 주택재개발정비사업조합,길음동 542-1,준공인가,37.6085308,127.0201946
서초구,재건축,신반포18차 337동 주택재건축정비사업조합,잠원동 49-17,착공,37.5182544,127.0124028
영등포구,재개발(도시정비형),52. 당산제3구역 도시환경정비구역,당산동3가 410,정비계획 수립,37.52616,126.89724
