자치구,사업구분,사업장명,대표지번,진행단계,lat,lng,매칭구역,has_polygon
강남구,재건축,압구정아파트지구 특별계획구역② 재건축정비사업조합,압구정동 434,조합설립인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
강동구,재건축,고덕시영아파트 주택재건축정비사업조합,고덕동 670,조합해산,37.558428503071966,127.14983171123572,고덕시영아파트 주택재건축정비구역,True
은평구,재개발(주택정비형),응암제2구역 주택재개발정비사업 조합,응암동 36,조합청산,37.569464434234625,126.99356150326884,2구역,True
강남구,재건축,논현청학아파트재건축정비사업 조합,논현동 62-3,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
중랑구,재건축,한림연립주택재건축조합,면목동 134-40,이전고시,37.52050824965235,126.85186260618221,도시환경정비사업,True
동작구,재개발(주택정비형),노량진7재정비촉진구역 조합,대방동 13-31,관리처분인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
용산구,재개발(도시정비형),한강로구역 도시환경정비사업조합,한강로1가 158,조합설립인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
동대문구,재개발(주택정비형),용두1도시환경정비구역 제5지구 조합설립추진위원회,용두동 23-1,추진위원회승인,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
강동구,소규모재건축,길동한전우성아파트 소규모주택정비사업조합,길동 332,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
은평구,재개발(주택정비형),증산2재정비촉진구역 주택재개발정비사업 조합,증산동 213-20,조합해산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
서대문구,재개발(주택정비형),홍은제14구역주택재개발정비사업조합,홍은동 19-19,조합해산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
서대문구,재개발(주택정비형),연희제1구역 주택재개발정비사업조합,연희동 533,착공,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
중구,재개발(주택정비형),신당제9구역 주택재개발정비사업조합,신당동 432-1008,조합설립인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
성북구,재개발(주택정비형),돈암6구역 주택재개발정비사업조합,돈암동 48-29,사업시행인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
용산구,재개발(주택정비형),한남4재정비촉진구역 주택재개발정비사업 조합,보광동 360,사업시행인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
동대문구,재개발(주택정비형),제기제6구역주택재개발정비사업조합,제기동 120-104,관리처분인가,37.58726333431991,127.03965938721494,제기 제6구역 주택재개발정비구역,True
동대문구,재건축,435대명연립 주택재건축정비사업 조합,장안동 435-2,이전고시,37.52050824965235,126.85186260618221,도시환경정비사업,True
동대문구,재개발(주택정비형),이문4재정비촉진구역 주택재개발정비사업조합,이문동 86-1,관리처분인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
성북구,가로주택정비,장위13-6 가로주택정비사업 조합,장위동 232-41,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
강남구,재건축,압구정한양7차아파트 재건축정비사업조합,압구정동 528,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
종로구,재개발(도시정비형),창신4구역 도시환경정비사업 조합설립추진위원회,창신동 330-1,추진위원회승인,37.5696749973672,126.99653130397422,4구역,True
서초구,재건축,신반포21차아파트 주택재건축정비사업조합,잠원동 59-10,착공,37.52050824965235,126.85186260618221,도시환경정비사업,True
강서구,재건축,화곡1 주택재건축정비사업조합,화곡동 1027-50,이전고시,37.54503306082367,126.84033547497243,화곡1주택재건축정비구역,True
동작구,재개발(주택정비형),노량진1재정비촉진구역 조합,노량진동 278-2,사업시행인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
동작구,재건축,상도대림아파트 주택재건축 조합,상도동 36-1,조합청산,37.52050824965235,126.85186260618221,도시환경정비사업,True
송파구,재건축,반도아파트 주택재건축정비사업 조합,송파동 167,조합해산,37.502912685157604,127.1195771368855,반도아파트주택재건축사업,True
관악구,재건축,봉천1-1구역 재건축정비사업 조합,봉천동 728-57,사업시행인가,37.569311414966045,126.99528506226414,1-1구역,True
강서구,재건축,원일빌라 주택재건축정비사업조합,방화동 278-7,관리처분인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
성동구,재개발(주택정비형),옥수제13구역 주택재개발정비사업 조합,옥수동 526,조합해산,37.54799316913011,127.0137937698417,성동구 옥수 제13주택재개발구역 정비,True
용산구,재개발(도시정비형),용산역전면 제3구역 도시환경정비사업조합,한강로2가 342,이전고시,37.52904800135316,126.9670616292404,3구역,True
성동구,재개발(주택정비형),금호제14구역 주택재개발정비사업조합,금호동4가 235,조합해산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
영등포구,재건축,75. 여의도 시범아파트주택재건축정비사업 조합설립추진위원회,여의도동 50,추진위원회승인,37.52050824965235,126.85186260618221,도시환경정비사업,True
성북구,재개발(주택정비형),성북1구역 공공재개발 정비사업 주민대표회의,성북동 179-68,조합설립인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
관악구,재개발(주택정비형),봉천제12-2구역 주택재개발정비사업조합,봉천동 1553-1,조합청산,37.569464434234625,126.99356150326884,2구역,True
서대문구,재개발(주택정비형),가재울뉴타운5구역 주택재개발정비사업 조합,남가좌동 175,조합해산,37.52634210552457,126.96596738306883,5구역,True
양천구,재개발(주택정비형),신월1구역 주택재개발정비사업 조합설립추진위원회,신월동 159-192,추진위원회승인,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
성북구,재개발(주택정비형),길음2재정비촉진구역 주택재개발정비사업조합,길음동 498,조합해산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
송파구,재건축,가락미륭아파트 재건축정비사업조합,가락동 138,관리처분인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
관악구,지역주택,(가칭)신림지역주택조합 추진위원회,신림동 1480-1,조합원 모집신고,37.52050824965235,126.85186260618221,도시환경정비사업,True
서초구,리모델링,반포동엠브이아파트 리모델링주택조합,반포동 46,,37.52050824965235,126.85186260618221,도시환경정비사업,True
관악구,지역주택,(가칭)청림동지역주택조합,봉천동 14-120,,37.52050824965235,126.85186260618221,도시환경정비사업,True
동대문구,재개발(주택정비형),답십리제17구역 주택재개발정비사업,답십리동 12,준공인가,37.56678373419973,127.0605001862737,답십리제17구역 주택재개발사업,True
동작구,재건축,사당1 주택재건축정비사업 조합,사당동 167-19,조합청산,37.488429800123065,126.97320778137241,사당1 주택재건축정비구역,True
마포구,지역주택,신수동무쇠막 지역주택조합,신수동 91-90,철거 및 착공,37.52050824965235,126.85186260618221,도시환경정비사업,True
양천구,재개발(도시정비형),목동 523번지 일대 도시정비형 재개발사업(역세권 활성화 사업),목동 523,정비계획 수립,37.51723913697075,127.1070626152365,주택재건축사업,True
서대문구,재개발(주택정비형),연희2구역 공공재개발사업,연희동 721-6,추진위원회승인,37.569464434234625,126.99356150326884,2구역,True
동작구,지역주택,(가칭)동작남성역지역주택조합,사당동 277-1,조합원 모집신고,37.52050824965235,126.85186260618221,도시환경정비사업,True
양천구,재건축,봉상연립 주택재건축정비사업 조합,신월동 8-1,이전고시,37.52050824965235,126.85186260618221,도시환경정비사업,True
서대문구,재건축,홍은동제2 주택재건축정비사업 조합,홍은동 338-5,준공인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
동작구,재개발(주택정비형),흑석3재정비촉진구역 주택재개발정비사업조합,흑석동 253-89,준공인가,37.50143204740475,126.96191454556822,흑석3 재정비촉진구역-주택재개발사,True
서초구,재건축,신반포1차아파트 주택재건축정비사업 조합,반포동 2-1,조합청산,37.52050824965235,126.85186260618221,도시환경정비사업,True
관악구,재개발(주택정비형),봉천제14구역 재개발정비사업조합,봉천동 1,사업시행인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
광진구,가로주택정비,한양연립 일대 가로주택정비사업,구의동 592-39,사업시행인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
금천구,가로주택정비,시흥동 934번지 일대 가로주택정비사업,시흥동 934,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
